number of AT8 positive cells_Grey matter,number of Iba1 positive cells_Grey matter
1222,8152
2,5733
1561,8824
118,1119
100,448
88,3218
9,10146
411,13883
0,4669
348,5033
0,4326
42,2676
1123,5250
24,5662
284,3224
371,9093
937,20899
11,8440
50,8490
1581,16436
311,3087
1,4192
515,8326
166,3721
38,7037
67,2497
0,4788
42,7727
1,3522
369,6666
4,4696
9,4665
1129,2538
327,8403
598,7285
735,2812
95,2886
14,9950
0,5660
58,10111
1377,3735
14,13693
3,3275
8,5351
1,3674
77,1793
335,4627
38,2654
661,8838
71,3687
33,6383
54,4935
29,4261
1013,6094
0,8307
18,15256
787,12683
0,8871
244,716
0,5075
403,3820
7,6363
4,6736
4,9002
19,18014
199,17977
576,5861
186,6787
9,8678
1050,12257
2,101
2008,12461
17,7279
335,2306
810,345
743,7300
636,5334
13,19375
2,9266
706,5182
839,5887
175,6505
1723,5874
6,3622
